	Kingdom	Phylum	Class	Order	Family	Genus	Species
ASV34	Fungi	Ascomycota	Orbiliomycetes	Orbiliales	NA	NA	NA
ASV35	Viridiplantae	Chlorophyta	Trebouxiophyceae	Chlorellales	NA	NA	NA
ASV36	Fungi	Ascomycota	Sordariomycetes	Sordariales	Chaetomiaceae	Subramaniula	Subramaniula asteroides
ASV37	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Didymellaceae	NA	NA
ASV38	Fungi	Ascomycota	Sordariomycetes	Sordariales	Chaetomiaceae	Collariella	Collariella causiiformis
ASV39	Metazoa	Arthropoda	Malacostraca	Amphipoda	NA	NA	NA
ASV40	Fungi	NA	NA	NA	NA	NA	NA
ASV41	Fungi	Ascomycota	Sordariomycetes	Coniochaetales	Coniochaetaceae	Coniochaeta	Coniochaeta polymorpha
ASV42	Metazoa	Arthropoda	Malacostraca	Amphipoda	NA	NA	NA
ASV43	Fungi	Ascomycota	Lecanoromycetes	Trapeliales	NA	NA	NA
ASV44	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Sporormiaceae	Preussia	Preussia africana
ASV45	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Entolomataceae	Entoloma	Entoloma halophilum
ASV46	Fungi	Ascomycota	Dothideomycetes	Pleosporales	NA	NA	NA
ASV47	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Alternaria	NA
ASV48	Fungi	NA	NA	NA	NA	NA	NA
ASV49	Fungi	Ascomycota	Dothideomycetes	Pleosporales	NA	Thyrostroma	Thyrostroma cornicola
ASV50	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus	NA
ASV51	Fungi	Ascomycota	Eurotiomycetes	Verrucariales	NA	NA	NA
ASV52	Fungi	Ascomycota	Sordariomycetes	Xylariales	NA	NA	NA
ASV53	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	NA	NA	NA
ASV54	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Alternaria	Alternaria alternata
ASV55	Fungi	NA	NA	NA	NA	NA	NA
ASV56	Fungi	Ascomycota	Dothideomycetes	Pleosporales	NA	NA	NA
ASV57	NA	NA	NA	NA	NA	NA	NA
ASV58	Viridiplantae	Anthophyta	Monocotyledonae	Dioscoreales	Dioscoreaceae	Dioscorea	Dioscorea polystachya
ASV59	Fungi	Ascomycota	Dothideomycetes	Botryosphaeriales	NA	NA	NA
ASV60	Fungi	Ascomycota	Sordariomycetes	Hypocreales	NA	NA	NA
ASV61	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Didymellaceae	Phoma	Phoma herbarum
ASV62	Viridiplantae	Marchantiophyta	Jungermanniopsida	Porellales	NA	NA	NA
ASV63	Fungi	Ascomycota	Dothideomycetes	Capnodiales	NA	NA	NA
ASV64	NA	NA	NA	NA	NA	NA	NA
ASV65	Fungi	Basidiomycota	Tremellomycetes	Filobasidiales	Filobasidiaceae	Naganishia	Naganishia friedmannii
ASV66	Fungi	Ascomycota	Dothideomycetes	Dothideales	Dothideaceae	Endoconidioma	Endoconidioma populi
ASV67	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	NA	NA	NA
ASV68	Fungi	Ascomycota	Sordariomycetes	Xylariales	NA	NA	NA
ASV69	Fungi	Ascomycota	Sordariomycetes	Xylariales	NA	NA	NA
ASV70	Fungi	NA	NA	NA	NA	NA	NA
ASV71	Fungi	Olpidiomycota	Olpidiomycetes	Olpidiales	Olpidiaceae	NA	NA
ASV72	Fungi	Ascomycota	Dothideomycetes	Botryosphaeriales	NA	NA	NA
ASV73	Fungi	Ascomycota	Dothideomycetes	NA	NA	NA	NA
ASV74	Fungi	Ascomycota	Dothideomycetes	Dothideales	Aureobasidiaceae	Kabatiella	NA
ASV75	Fungi	Ascomycota	Eurotiomycetes	Onygenales	NA	NA	NA
ASV76	Fungi	Basidiomycota	NA	NA	NA	NA	NA
ASV77	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Sporormiaceae	NA	NA
ASV78	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	NA	NA	NA
ASV79	Metazoa	Arthropoda	Malacostraca	Amphipoda	NA	NA	NA
ASV80	Rhizaria	Cercozoa	NA	NA	NA	NA	NA
ASV81	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	NA	NA	NA
ASV82	Fungi	Ascomycota	Dothideomycetes	Pleosporales	NA	NA	NA
ASV83	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	Herpotrichiellaceae	Coniosporium	Coniosporium apollinis
ASV84	Fungi	Ascomycota	Leotiomycetes	Helotiales	NA	NA	NA
ASV85	Fungi	Ascomycota	Dothideomycetes	Pleosporales	NA	NA	NA
ASV86	Fungi	Ascomycota	Dothideomycetes	Botryosphaeriales	NA	NA	NA
ASV87	Fungi	NA	NA	NA	NA	NA	NA
ASV88	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Penicillium	NA
ASV89	Fungi	Ascomycota	Sordariomycetes	Hypocreales	NA	NA	NA
ASV90	Fungi	Basidiomycota	Agaricomycetes	Agaricales	NA	NA	NA
ASV91	Fungi	Ascomycota	Sordariomycetes	Sordariales	Chaetomiaceae	Acrophialophora	NA
ASV92	Fungi	Ascomycota	Sordariomycetes	Coniochaetales	Coniochaetaceae	Coniochaeta	Coniochaeta polymorpha
ASV93	Stramenopila	Ochrophyta	Phaeophyceae	Fucales	NA	NA	NA
ASV94	Fungi	Basidiomycota	Agaricomycetes	Cantharellales	NA	NA	NA
ASV95	Fungi	Ascomycota	Lecanoromycetes	Umbilicariales	NA	NA	NA
ASV96	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Trematosphaeriaceae	Trematosphaeria	NA
ASV97	Fungi	Ascomycota	Sordariomycetes	Xylariales	NA	NA	NA
ASV98	Fungi	Basidiomycota	Agaricomycetes	Agaricales	NA	NA	NA
ASV99	Metazoa	Platyhelminthes	Cestoda	Cyclophyllidea	NA	NA	NA
ASV100	Fungi	Basidiomycota	Agaricomycetes	Agaricales	NA	NA	NA
ASV101	Fungi	Ascomycota	Sordariomycetes	Sordariales	Chaetomiaceae	NA	NA
ASV102	Fungi	Ascomycota	Sordariomycetes	Sordariales	NA	NA	NA
ASV103	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Sporormiaceae	Preussia	Preussia fleischhakii
ASV104	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Sporormiaceae	NA	NA
ASV105	Fungi	Ascomycota	Sordariomycetes	Sordariales	Chaetomiaceae	Collariella	Collariella causiiformis
ASV106	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	NA	NA	NA
ASV107	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	NA	NA	NA
ASV108	Fungi	NA	NA	NA	NA	NA	NA
ASV109	Fungi	Basidiomycota	Agaricomycetes	Agaricales	NA	NA	NA
ASV110	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Amanitaceae	Amanita	Amanita exitialis
ASV111	NA	NA	NA	NA	NA	NA	NA
ASV112	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Sporormiaceae	Preussia	Preussia fleischhakii
ASV113	Fungi	Ascomycota	Dothideomycetes	Botryosphaeriales	NA	NA	NA
ASV114	Fungi	Ascomycota	Leotiomycetes	Helotiales	Rutstroemiaceae	NA	NA
ASV115	Fungi	Ascomycota	Archaeorhizomycetes	Archaeorhizomycetales	Archaeorhizomycetaceae	Archaeorhizomyces	NA
ASV116	Fungi	Ascomycota	Archaeorhizomycetes	Archaeorhizomycetales	Archaeorhizomycetaceae	Archaeorhizomyces	NA
ASV117	Fungi	NA	NA	NA	NA	NA	NA
ASV118	Fungi	Ascomycota	Dothideomycetes	Capnodiales	NA	NA	NA
ASV119	Fungi	Ascomycota	Leotiomycetes	Helotiales	NA	NA	NA
ASV120	Fungi	Basidiobolomycota	Basidiobolomycetes	Basidiobolales	Basidiobolaceae	Basidiobolus	Basidiobolus ranarum
ASV121	Fungi	Mortierellomycota	NA	NA	NA	NA	NA
ASV122	Fungi	Mucoromycota	Mucoromycetes	Mucorales	NA	NA	NA
ASV123	Fungi	Basidiobolomycota	Basidiobolomycetes	Basidiobolales	Basidiobolaceae	Basidiobolus	Basidiobolus microsporus
ASV124	Fungi	Ascomycota	Leotiomycetes	Helotiales	NA	NA	NA
ASV125	Fungi	NA	NA	NA	NA	NA	NA
ASV126	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Alternaria	NA
ASV127	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Didymellaceae	NA	NA
ASV128	Fungi	Ascomycota	Eurotiomycetes	Verrucariales	Verrucariaceae	Placidium	Placidium lacinulatum var erythrostratum
ASV129	Fungi	Ascomycota	Dothideomycetes	NA	NA	NA	NA
ASV130	Rhizaria	Cercozoa	NA	NA	NA	NA	NA
ASV131	Fungi	Ascomycota	NA	NA	NA	NA	NA
ASV132	Fungi	Ascomycota	Dothideomycetes	Dothideales	Aureobasidiaceae	Aureobasidium	NA
ASV133	Fungi	Ascomycota	Dothideomycetes	Pleosporales	NA	NA	NA
ASV134	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Penicillium	Penicillium citreonigrum
ASV135	Choanoflagellozoa	Choanoflagellata	NA	Choanoflagellida	NA	NA	NA
ASV136	Fungi	NA	NA	NA	NA	NA	NA
ASV137	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	NA	NA	NA
ASV138	Fungi	Ascomycota	Sordariomycetes	Xylariales	NA	NA	NA
ASV139	Fungi	Ascomycota	Arthoniomycetes	Lichenostigmatales	NA	NA	NA
ASV140	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Phaeosphaeriaceae	Chaetosphaeronema	NA
ASV141	Alveolata	Ciliophora	NA	NA	NA	NA	NA
ASV142	Fungi	Ascomycota	Leotiomycetes	Helotiales	Rutstroemiaceae	NA	NA
ASV143	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Didymosphaeriaceae	Aporospora	NA
ASV144	Fungi	Ascomycota	NA	NA	NA	NA	NA
ASV145	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	NA	NA	NA
ASV146	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Elaphomycetaceae	Elaphomyces	Elaphomyces muricatus
ASV147	Fungi	Basidiomycota	Agaricomycetes	Agaricales	NA	NA	NA
ASV148	Fungi	Basidiomycota	Tremellomycetes	Filobasidiales	Filobasidiaceae	Naganishia	NA
ASV149	Fungi	Ascomycota	Dothideomycetes	Pleosporales	NA	Thyrostroma	NA
ASV150	Fungi	Ascomycota	NA	NA	NA	NA	NA
ASV151	Fungi	Ascomycota	Pezizomycetes	Pezizales	NA	NA	NA
ASV152	Fungi	Ascomycota	Pezizomycetes	Pezizales	NA	NA	NA
ASV153	Rhizaria	Cercozoa	NA	NA	NA	NA	NA
ASV154	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Sporormiaceae	Preussia	NA
ASV155	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Sporormiaceae	NA	NA
ASV156	Fungi	Ascomycota	NA	NA	NA	NA	NA
ASV157	Fungi	Ascomycota	Eurotiomycetes	Onygenales	NA	NA	NA
ASV158	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	NA	NA	NA
ASV159	Fungi	NA	NA	NA	NA	NA	NA
ASV160	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	NA	NA	NA
ASV161	Fungi	Ascomycota	Eurotiomycetes	Onygenales	NA	NA	NA
ASV162	Fungi	Ascomycota	Dothideomycetes	Dothideales	Aureobasidiaceae	Aureobasidium	Aureobasidium pullulans
ASV163	Fungi	Ascomycota	NA	NA	NA	NA	NA
ASV164	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	Herpotrichiellaceae	Coniosporium	NA
ASV165	Fungi	Ascomycota	Dothideomycetes	Pleosporales	NA	NA	NA
ASV166	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus	NA
ASV167	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	Herpotrichiellaceae	Exophiala	Exophiala xenobiotica
ASV168	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Mycosphaerellaceae	NA	NA
ASV169	Fungi	Ascomycota	NA	NA	NA	NA	NA
ASV170	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Entolomataceae	Entoloma	Entoloma halophilum
ASV171	Fungi	Ascomycota	Lecanoromycetes	Acarosporales	NA	NA	NA
ASV172	Fungi	NA	NA	NA	NA	NA	NA
ASV173	Fungi	Ascomycota	NA	NA	NA	NA	NA
ASV174	Fungi	Ascomycota	Dothideomycetes	Pleosporales	NA	NA	NA
ASV175	Fungi	Ascomycota	Sordariomycetes	Xylariales	NA	NA	NA
ASV176	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Coniothyriaceae	Coniothyrium	Coniothyrium telephii
ASV177	Fungi	Ascomycota	NA	NA	NA	NA	NA
ASV178	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus	NA
ASV179	Fungi	Basidiomycota	Tremellomycetes	Tremellales	NA	NA	NA
ASV180	Fungi	Ascomycota	Lecanoromycetes	Umbilicariales	NA	NA	NA
ASV181	Fungi	Basidiomycota	Agaricomycetes	Cantharellales	Ceratobasidiaceae	Ceratobasidium	NA
ASV182	Fungi	Basidiobolomycota	Basidiobolomycetes	Basidiobolales	Basidiobolaceae	Basidiobolus	Basidiobolus ranarum
ASV183	Fungi	NA	NA	NA	NA	NA	NA
ASV184	Fungi	NA	NA	NA	NA	NA	NA
ASV185	Fungi	Basidiomycota	Tremellomycetes	Filobasidiales	Filobasidiaceae	Naganishia	NA
ASV186	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Curvularia	NA
ASV187	Alveolata	Dinophyta	Dinophyceae	Prorocentrales	NA	NA	NA
ASV188	Fungi	Basidiobolomycota	Basidiobolomycetes	Basidiobolales	Basidiobolaceae	Basidiobolus	Basidiobolus microsporus
ASV189	Fungi	Ascomycota	Dothideomycetes	Dothideales	NA	NA	NA
ASV190	Fungi	Ascomycota	Leotiomycetes	Helotiales	NA	NA	NA
ASV191	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Alternaria	Alternaria eureka
ASV192	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Sporormiaceae	Preussia	NA
ASV193	Fungi	Ascomycota	NA	NA	NA	NA	NA
ASV194	Fungi	Ascomycota	Eurotiomycetes	Onygenales	NA	NA	NA
ASV195	Fungi	Ascomycota	Sordariomycetes	Sordariales	Chaetomiaceae	Chaetomium	Chaetomium seminis-citrulli
ASV196	Fungi	Basidiomycota	Agaricomycetes	Cantharellales	Ceratobasidiaceae	NA	NA
ASV197	Fungi	NA	NA	NA	NA	NA	NA
ASV198	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Didymosphaeriaceae	Pseudopithomyces	NA
ASV199	Fungi	Ascomycota	Dothideomycetes	Dothideales	NA	NA	NA
ASV200	Fungi	Ascomycota	Lecanoromycetes	Lecanorales	NA	NA	NA
ASV201	Rhizaria	Cercozoa	NA	Thaumatomonadida	NA	NA	NA
ASV202	Fungi	Mucoromycota	Mucoromycetes	Mucorales	NA	NA	NA
ASV203	Fungi	Basidiomycota	Tremellomycetes	Tremellales	NA	NA	NA
ASV204	Fungi	Ascomycota	Sordariomycetes	Sordariales	Chaetomiaceae	Botryotrichum	NA
ASV205	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	NA	NA	NA
ASV206	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Amanitaceae	Amanita	Amanita exitialis
ASV207	Fungi	Ascomycota	NA	NA	NA	NA	NA
ASV208	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Sporormiaceae	Preussia	NA
ASV209	Choanoflagellozoa	Choanoflagellata	NA	Choanoflagellida	NA	NA	NA
ASV210	Fungi	Ascomycota	Sordariomycetes	Sordariales	Lasiosphaeriaceae	Fimetariella	Fimetariella rabenhorstii
ASV211	Fungi	Ascomycota	Dothideomycetes	Dothideales	NA	NA	NA
ASV212	Fungi	Ascomycota	Arthoniomycetes	Lichenostigmatales	Phaeococcomycetaceae	Phaeococcomyces	Phaeococcomyces mexicanus
ASV213	Fungi	Ascomycota	Pezizomycetes	NA	NA	NA	NA
ASV214	Fungi	Ascomycota	Leotiomycetes	Helotiales	NA	NA	NA
ASV215	Fungi	Ascomycota	NA	NA	NA	NA	NA
ASV216	Fungi	Ascomycota	Pezizomycetes	NA	NA	NA	NA
ASV217	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	Herpotrichiellaceae	Coniosporium	Coniosporium apollinis
ASV218	Fungi	Ascomycota	Arthoniomycetes	Lichenostigmatales	Phaeococcomycetaceae	Phaeococcomyces	Phaeococcomyces mexicanus
ASV219	Rhizaria	Cercozoa	NA	NA	NA	NA	NA
ASV220	Rhizaria	Cercozoa	NA	Thaumatomonadida	NA	NA	NA
ASV221	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Didymosphaeriaceae	Deniquelata	Deniquelata barringtoniae
ASV222	Fungi	NA	NA	NA	NA	NA	NA
ASV223	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	NA	NA	NA
ASV224	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	Herpotrichiellaceae	NA	NA
ASV225	Fungi	Ascomycota	Sordariomycetes	NA	NA	NA	NA
ASV226	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Sporormiaceae	Preussia	Preussia fleischhakii
ASV227	Fungi	Ascomycota	Sordariomycetes	NA	NA	NA	NA
ASV228	Fungi	Ascomycota	Dothideomycetes	Tubeufiales	NA	NA	NA
ASV229	Fungi	Ascomycota	Dothideomycetes	Pleosporales	NA	NA	NA
ASV230	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Trematosphaeriaceae	Trematosphaeria	NA
ASV231	Fungi	Ascomycota	Eurotiomycetes	Onygenales	NA	NA	NA
ASV232	Fungi	Ascomycota	Sordariomycetes	Xylariales	NA	NA	NA
ASV233	Fungi	Ascomycota	Leotiomycetes	Helotiales	NA	NA	NA
ASV234	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	NA	NA	NA
ASV235	Fungi	Ascomycota	Dothideomycetes	Pleosporales	NA	NA	NA
ASV236	Fungi	Ascomycota	Dothideomycetes	Pleosporales	NA	NA	NA
ASV237	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	Herpotrichiellaceae	Coniosporium	Coniosporium apollinis
ASV238	Fungi	Ascomycota	Dothideomycetes	NA	NA	Catenulomyces	Catenulomyces convolutus
ASV239	Fungi	Ascomycota	Dothideomycetes	Botryosphaeriales	Botryosphaeriaceae	Microdiplodia	NA
ASV240	Fungi	NA	NA	NA	NA	NA	NA
ASV241	Fungi	NA	NA	NA	NA	NA	NA
ASV242	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	NA	NA	NA
ASV243	Fungi	NA	NA	NA	NA	NA	NA
ASV244	Fungi	Rozellomycota	NA	NA	NA	NA	NA
ASV245	Fungi	NA	NA	NA	NA	NA	NA
ASV246	Fungi	NA	NA	NA	NA	NA	NA
ASV247	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus	Aspergillus granulosus
ASV248	Fungi	Ascomycota	Dothideomycetes	Botryosphaeriales	Botryosphaeriaceae	Macrophomina	Macrophomina phaseolina
ASV249	Fungi	Ascomycota	Sordariomycetes	Sordariales	Chaetomiaceae	Thielavia	NA
ASV250	Fungi	Ascomycota	Pezizomycetes	Pezizales	NA	NA	NA
ASV251	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	NA	NA	NA
ASV252	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	NA	NA	NA
ASV253	Fungi	Mortierellomycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Mortierella	NA
ASV254	Fungi	Ascomycota	Dothideomycetes	NA	NA	NA	NA
ASV255	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Exserohilum	NA
ASV256	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Mycosphaerellaceae	Mycosphaerella	NA
ASV257	Fungi	Ascomycota	Sordariomycetes	Sordariales	Chaetomiaceae	NA	NA
ASV258	Fungi	NA	NA	NA	NA	NA	NA
ASV259	NA	NA	NA	NA	NA	NA	NA
ASV260	Fungi	Ascomycota	Eurotiomycetes	Onygenales	Onygenaceae	Mallochia	Mallochia reticulata
ASV261	Fungi	Ascomycota	Sordariomycetes	NA	NA	NA	NA
ASV262	Fungi	Ascomycota	Dothideomycetes	Pleosporales	NA	NA	NA
ASV263	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	NA	NA	NA
ASV264	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	NA	NA	NA
ASV265	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Sporormiaceae	NA	NA
ASV266	Fungi	NA	NA	NA	NA	NA	NA
ASV267	Fungi	Ascomycota	Sordariomycetes	Xylariales	NA	NA	NA
ASV268	Fungi	Ascomycota	Sordariomycetes	Sordariales	Sordariaceae	NA	NA
ASV269	Rhizaria	Cercozoa	NA	NA	NA	NA	NA
ASV270	Fungi	Ascomycota	Dothideomycetes	Pleosporales	NA	NA	NA
ASV271	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Sporormiaceae	Sporormiella	Sporormiella septenaria
ASV272	Fungi	Mortierellomycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Mortierella	NA
ASV273	Fungi	Ascomycota	NA	NA	NA	NA	NA
ASV274	Fungi	Ascomycota	Lecanoromycetes	Lecanorales	NA	NA	NA
ASV275	Fungi	Blastocladiomycota	Blastocladiomycetes	Blastocladiales	NA	NA	NA
ASV276	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	NA	NA	NA
ASV277	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Amanitaceae	Amanita	Amanita exitialis
ASV278	Fungi	Ascomycota	Eurotiomycetes	Verrucariales	Verrucariaceae	Placidium	Placidium lacinulatum var lacinulatum
ASV279	Fungi	Basidiomycota	Agaricomycetes	Agaricales	NA	NA	NA
ASV280	Fungi	NA	NA	NA	NA	NA	NA
ASV281	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Stemphylium	NA
ASV282	Fungi	Ascomycota	Dothideomycetes	Dothideales	NA	NA	NA
ASV283	Fungi	NA	NA	NA	NA	NA	NA
ASV284	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Mycosphaerellaceae	Mycocentrospora	NA
ASV285	Fungi	Ascomycota	Dothideomycetes	Pleosporales	NA	NA	NA
ASV286	Fungi	Ascomycota	Dothideomycetes	Tubeufiales	NA	NA	NA
ASV287	Fungi	Ascomycota	Sordariomycetes	Sordariales	Chaetomiaceae	Chaetomium	NA
ASV288	Fungi	Ascomycota	Sordariomycetes	NA	NA	NA	NA
ASV289	Fungi	Ascomycota	Pezizomycetes	Pezizales	NA	NA	NA
ASV290	Alveolata	Ciliophora	Oligohymenophorea	Peniculida	NA	NA	NA
ASV291	Fungi	Ascomycota	Dothideomycetes	Tubeufiales	NA	NA	NA
ASV292	Fungi	Ascomycota	Sordariomycetes	Sordariales	Sordariaceae	Neurospora	Neurospora crassa
ASV293	Fungi	Ascomycota	Lecanoromycetes	Teloschistales	NA	NA	NA
ASV294	Fungi	Basidiomycota	Tremellomycetes	NA	NA	NA	NA
ASV295	Fungi	Ascomycota	Dothideomycetes	Pleosporales	NA	NA	NA
ASV296	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Periconiaceae	Periconia	Periconia macrospinosa
ASV297	Fungi	Mortierellomycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Mortierella	Mortierella alpina
ASV298	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	Herpotrichiellaceae	Coniosporium	Coniosporium apollinis
ASV299	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Didymellaceae	Phoma	NA
ASV300	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Dictyosporiaceae	Dictyosporium	Dictyosporium heptasporum
ASV301	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Mycosphaerellaceae	NA	NA
ASV302	Rhizaria	Cercozoa	NA	Thaumatomonadida	NA	NA	NA
ASV303	Fungi	Ascomycota	Dothideomycetes	Pleosporales	NA	NA	NA
ASV304	Fungi	Ascomycota	Dothideomycetes	Capnodiales	NA	NA	NA
ASV305	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Cortinariaceae	Cortinarius	Cortinarius diasemospermus
ASV306	Viridiplantae	Chlorophyta	Trebouxiophyceae	Chlorellales	NA	NA	NA
ASV307	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Mycosphaerellaceae	Mycosphaerella	NA
ASV308	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Didymosphaeriaceae	Deniquelata	Deniquelata barringtoniae
ASV309	Stramenopila	Ochrophyta	Phaeophyceae	Fucales	NA	NA	NA
ASV310	Viridiplantae	Marchantiophyta	Jungermanniopsida	Porellales	NA	NA	NA
ASV311	Fungi	Basidiomycota	Agaricomycetes	Cantharellales	Ceratobasidiaceae	NA	NA
ASV312	Fungi	NA	NA	NA	NA	NA	NA
ASV313	Fungi	Ascomycota	Dothideomycetes	Pleosporales	NA	NA	NA
ASV314	Fungi	Mortierellomycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Mortierella	NA
ASV315	Fungi	Ascomycota	Sordariomycetes	Sordariales	Chaetomiaceae	Ovatospora	Ovatospora unipora
ASV316	Fungi	Ascomycota	Pezizomycetes	Pezizales	Ascobolaceae	NA	NA
ASV317	Fungi	Ascomycota	NA	NA	NA	NA	NA
ASV318	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Sporormiaceae	Preussia	NA
ASV319	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	NA	NA	NA
ASV320	Fungi	Ascomycota	Leotiomycetes	Helotiales	NA	NA	NA
ASV321	Fungi	NA	NA	NA	NA	NA	NA
ASV322	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	NA	NA
ASV323	Fungi	Ascomycota	Dothideomycetes	Pleosporales	NA	NA	NA
ASV324	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Didymosphaeriaceae	Verrucoconiothyrium	Verrucoconiothyrium prosopidis
ASV325	Stramenopila	Ochrophyta	Bacillariophyceae	Lithodesmiales	NA	NA	NA
ASV326	Cryptista	Cryptophyta	NA	Pyrenomonadales	NA	NA	NA
ASV327	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Amanitaceae	Amanita	Amanita exitialis
ASV328	Fungi	Ascomycota	NA	NA	NA	NA	NA
ASV329	Fungi	Mortierellomycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Mortierella	NA
ASV330	Fungi	Ascomycota	Eurotiomycetes	Verrucariales	Verrucariaceae	Placidium	Placidium lacinulatum var lacinulatum
ASV331	Fungi	Ascomycota	Dothideomycetes	NA	NA	NA	NA
ASV332	Fungi	Ascomycota	Pezizomycetes	NA	NA	NA	NA
ASV333	Fungi	Ascomycota	Dothideomycetes	Pleosporales	NA	NA	NA
ASV334	Fungi	Ascomycota	Pezizomycetes	NA	NA	NA	NA
ASV335	Rhizaria	Cercozoa	NA	Thaumatomonadida	NA	NA	NA
ASV336	Fungi	NA	NA	NA	NA	NA	NA
ASV337	Rhizaria	Cercozoa	NA	NA	NA	NA	NA
ASV338	Alveolata	Apicomplexa	Coccidia	Eucoccidiorida	NA	NA	NA
ASV339	Rhizaria	Cercozoa	NA	Thaumatomonadida	NA	NA	NA
