Compound	Water_0.05H	Water_1h	Water_24H	Water_48H	Water_96H	LAC_0.05H1	LAC_0.05H2	LAC_0.05H3	LAC_0.05H4	LAC_0.05H5	LAC_1H1	LAC_1H2	LAC_1H3	LAC_1H4	LAC_1H5	LAC_24H1	LAC_24H2	LAC_24H3	LAC_24H4	LAC_24H5	LAC_48H1	LAC_48H2	LAC_48H3	LAC_48H4	LAC_48H5	LAC_96H1	LAC_96H2	LAC_96H3	LAC_96H4	LAC_96H5	CLC_0.05H1	CLC_0.05H2	CLC_0.05H3	CLC_0.05H4	CLC_0.05H5	CLC_1H1	CLC_1H2	CLC_1H3	CLC_1H4	CLC_1H5	CLC_24H1	CLC_24H2	CLC_24H3	CLC_24H4	CLC_24H5	CLC_48H1	CLC_48H2	CLC_48H3	CLC_48H4	CLC_48H5	CLC_96H1	CLC_96H2	CLC_96H3	CLC_96H4	CLC_96H5	AnnotationClass
Glutamic acid	0.482663207	0.025529429	0.54300425	0.71904335	0.034410575	2.415656823	2.217260189	2.357794535	2.287828702	2.32073542	1.877501807	2.132394057	2.098860338	2.237162256	1.954686401	-0.377189411	-0.028166557	-0.136313631	-0.024487782	0.041343989	-0.034106603	0.127636889	-0.180679324	-0.240350214	-0.345482704	-0.088116694	-0.209683979	-0.025982534	0.42168304	0.194777548	2.42911545	1.878793176	2.159030322	2.46901678	2.358142086	1.955738869	1.973336662	1.974702005	2.020534176	1.927686919	-1.254221209	-0.779071903	-0.957221365	-0.971162573	-0.689466108	-0.977370241	-1.380893153	-1.107325628	-0.942955784	-0.622616936	-0.481498179	-0.786861098	-0.481902255	-0.169919678	-0.179707033	Amino acid
Glutamine	1.567847	1.633838985	1.719280523	1.658364058	1.540626779	3.333210327	3.129641045	3.286349831	3.216649971	3.457447195	2.782293515	2.756302926	2.684693238	2.718961488	2.559285358	1.22325822	1.382693209	1.284855535	1.406711154	1.485331865	1.322141423	1.260798813	0.97769858	0.941949735	0.91817623	0.992768217	0.960739706	1.222165328	1.529234935	1.325622685	4.051557957	3.758836633	3.812381024	4.243690889	4.240853143	3.368717477	3.497278353	3.084753726	3.15997927	3.139325993	0.751786356	1.049411717	1.175152858	0.704831468	0.734675322	1.140417003	0.711133316	0.838426519	0.894456643	0.844078836	0.857346963	0.632851672	0.533592194	0.982186285	1.127842792	Amino acid
Glycerophosphocholine	1.854080333	2.139072777	1.974770663	1.92370264	1.94782252	2.170093867	1.833430704	1.980153532	2.053531716	2.175581567	1.326169558	1.419121207	1.343583615	1.244394539	1.355945864	1.150277836	1.35327951	1.326861583	1.431585184	1.180240185	0.048103285	0.798649612	0.932514312	0.857623901	1.079195663	1.226883464	1.364053049	1.914449765	2.049336308	2.278357527	2.707205415	2.912246005	2.525649186	2.129916363	1.994087585	1.327893811	1.553365108	0.948722812	0.521265788	0.579229054	0.354015454	0.283841632	0.381454643	0.21298872	0.639213431	0.599004816	0.192467028	0.390282549	0.521958859	-0.116160082	0.703070542	0.815479343	3.781545036	1.220062351	1.332141125	Choline
Guanine	0.227931398	-0.098557788	-0.103683826	-0.53733622	-0.410891964	1.120084063	0.850131584	1.117863286	1.015220083	1.134516832	1.566076855	1.695218647	1.525435474	1.733437797	1.94734398	-0.002258793	0.083942179	0.417660545	0.906673217	0.859041648	-0.673838442	-0.405699379	0.176348607	-0.245133641	0.006763081	1.426587314	1.199335207	0.453806871	0.091714255	0.133626742	0.59024288	0.408764882	0.238867926	0.048811116	-0.203220677	1.112356579	1.019885717	1.0024806	0.890847825	0.86732549	-0.373197521	-0.437341553	-0.326251908	-1.00655737	-0.541694142	-0.85068293	-1.075264159	-1.105423429	-0.920326634	-0.462090798	-0.704648815	-0.167187649	-0.404794393	-0.010511283	0.527593322	Purine
Guanosine	-1.463543709	-1.369815254	-0.866725191	-0.737633164	-1.416070639	1.929263402	1.620850613	1.778677938	1.603570069	1.645532964	1.329685728	1.339043374	1.384149739	1.462342474	1.357743416	-0.575859803	-0.915254125	-0.402261314	-0.422130485	-0.220556536	-0.597313249	-0.520532138	0.130983942	-0.005505109	0.015237467	0.931008672	0.526943377	0.614564784	0.364820868	0.642943092	1.319035166	1.233159576	1.281490554	1.446268339	1.504592106	1.42844775	1.362254997	1.508823847	1.567422055	1.484792705	-0.767206783	-0.854702485	-0.807010451	-1.120761533	-0.540355519	0.148031099	-0.216723078	-0.477469029	-0.128852989	-0.07747897	0.446499198	0.595872815	0.437655265	0.765326881	0.998584091	Purine
Hexoseamine	-1.87513301	-0.675749675	-1.530607969	-2.655253752	-1.878664581	-2.863308314	-2.696463719	-2.806980502	-2.600986163	-3.246665304	-2.9244778	-3.092364372	-2.906482411	-2.930743754	-3.306182117	-1.256000799	-1.362103806	-1.293798952	-1.478874173	-1.260214292	-3.092599267	-2.980374112	-1.829376562	-2.536314291	-2.214930513	-2.276615319	-2.104546031	-1.762740824	-1.697698139	-1.76674201	-1.953871542	-2.139159204	-1.903492278	-1.999273276	-2.667325189	-2.185704725	-2.095907426	-2.239875065	-2.112541364	-2.034666488	0.427499788	0.486750735	0.395396475	0.434017769	0.494289457	0.792423612	0.594434456	0.372077066	0.323650845	0.0018085	0.14545341	1.497120332	1.334216729	0.682349511	0.94751317	Amino sugar
Hypoxanthine	1.192064732	1.118253332	1.151428695	1.452843251	1.261158106	2.331124824	2.055305911	2.262764456	2.15449156	2.183254177	2.934814671	2.962196089	2.82826315	2.874004288	3.147656471	0.698822074	0.938538949	1.060579301	1.352642728	1.401132605	-0.227974437	0.338185621	0.421420125	0.365195317	0.156803184	1.540742314	1.296813397	0.870513921	0.843887936	0.736899686	1.630559598	1.622583183	1.426022601	1.481149738	1.424132135	2.248922092	2.224225194	2.415293576	2.390788796	2.326817096	-0.288195947	-0.032776481	-0.050684795	-0.414727349	-0.122105799	-0.088280477	-0.311438783	-0.528950814	-0.437200762	0.27709999	-0.092065205	-0.083553162	0.144351162	0.515057408	0.698059576	Purine
Isoleucine	2.986983389	2.522312857	2.949146902	3.214999587	3.075025736	1.304267493	1.716456195	1.439340794	1.651342155	1.482265463	1.948985757	1.731884372	1.91640867	1.773208517	1.770792482	2.46533958	2.773849187	2.73039218	2.930490629	2.824372695	3.429524164	3.024529394	2.610073892	2.901704448	2.58449742	2.886954985	2.830260828	2.475908601	2.998709482	2.838261679	1.713918553	1.946291536	2.006507619	2.108081894	2.061429302	2.016661331	1.94240617	2.143050489	2.33146914	2.258286549	1.80806989	1.383730877	0.997969508	1.561701572	1.090818317	0.822775714	0.89652212	1.228151108	1.438901745	1.052048851	1.979890767	1.354825127	1.869784704	2.189523928	2.001566332	Amino acid
Kynurenine	-3.396446706	-2.374673166	-2.668304383	-3.14238617	-2.128237233	-2.825394412	-2.909554946	-2.732269669	-3.022364185	-2.78094656	-1.964337155	-1.870987156	-1.979687046	-1.939769893	-1.674952783	-1.52590052	-1.973633331	-1.35901995	-2.014205049	-2.012771782	-0.30495604	-1.014391666	-0.971815481	-1.048199588	-1.090645856	-1.881676141	-2.096647525	-2.034073996	-2.972406099	-2.252337209	-3.259279219	-3.431297404	-3.686784963	-3.897565116	-4.025992514	-2.672184584	-2.563534478	-2.402545711	-2.416414057	-2.37230973	-0.579525752	-0.348790389	-0.673670046	-1.645645639	-2.028030177	-1.889216424	-1.658448108	-1.76806998	-2.075543442	-1.65869665	-2.73525669	-2.094635818	-1.894606119	-2.156297611	-2.139465698	Amino acid
Leucine	3.047362683	2.648415451	3.026581267	3.257341152	3.20150283	1.532989656	1.877580742	1.609047567	1.730449681	1.628111127	2.051058921	1.920729702	1.995735047	1.948239404	1.880604415	2.552811377	2.852574193	2.799324506	3.047551965	2.991988775	3.564830225	3.203835314	2.713620326	2.898602332	2.752397422	3.055557	2.941862427	2.61540251	3.117169803	2.851611174	2.130787429	2.348056796	2.349034224	2.318825085	2.271771801	2.215335383	2.128552574	2.38236262	2.540165182	2.513469014	1.936334536	1.466945192	1.139046366	1.731677498	1.330729459	0.937939406	0.935154483	1.258170847	1.46688036	1.423737241	1.870321072	1.206385703	1.732174324	2.200333798	1.932198403	Amino acid
Lysine	1.379467864	1.25597679	1.552761814	1.76642747	1.155071566	-0.972329233	-0.431377082	-0.740361441	-0.468669563	-0.521109134	-0.425639312	-0.473976419	-0.594714104	-0.409365864	-0.834473051	0.689972825	1.035169712	0.964582618	1.045039136	0.755826162	0.102365633	0.69569947	0.518269298	0.496065875	0.485363474	0.977348261	1.011707885	0.91506477	1.593256465	1.261009907	-1.699737552	-1.890889731	-2.102629726	-2.240045948	-2.003052049	-0.702953295	-0.942657689	-1.36807334	-1.45772256	-1.438051405	-0.607266255	-0.481071313	-0.580796462	-0.224282344	-0.021479516	-0.451246173	-0.612372182	-0.737279032	-0.328693209	-0.799220075	0.036583006	-0.205495073	0.280572745	0.839030138	0.559410621	Amino acid
Methionine	1.299039129	0.728599536	1.211301843	1.530407475	1.387259914	-0.451092718	0.020174626	-0.261812419	-0.106328969	-0.187005432	0.036971786	-0.173849944	0.023257385	-0.044715385	-0.115582664	0.679349947	1.035881602	0.955331455	1.208509668	1.160454678	2.992628092	2.390018675	2.012418781	2.32200858	2.134945471	1.810609864	1.662524932	0.914507816	1.352830464	1.071351278	0.166253518	0.459578245	0.698196194	0.787902132	0.75674705	0.060026264	-0.031279887	0.182071351	0.376761295	0.279547772	0.502670019	0.019248193	-0.546202484	-0.063374627	-0.578379304	-0.383892677	-0.609599063	0.084795309	0.278902602	0.509665494	0.254612108	-0.017225433	0.293483895	0.558791992	0.249509413	Amino acid
