	Feature_ID	Kingdom	Phylum	Class	Order	Family	Genus	Species	Confidence
ASV1	ASV1	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Mitochondria	NA	NA	0.999907519
ASV2	ASV2	Bacteria	Cyanobacteria	Oxyphotobacteria	Nostocales	Nostocaceae	Nostoc PCC-73102	uncultured bacterium	0.74565085
ASV3	ASV3	Bacteria	Cyanobacteria	Oxyphotobacteria	Nostocales	Coleofasciculaceae	Symplocastrum CPER-KK1	NA	0.993757199
ASV4	ASV4	Bacteria	Cyanobacteria	Oxyphotobacteria	Nostocales	uncultured	uncultured cyanobacterium	uncultured cyanobacterium	0.991762028
ASV5	ASV5	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Beijerinckiaceae	uncultured	uncultured bacterium	0.724797333
ASV6	ASV6	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Beijerinckiaceae	Microvirga	NA	0.995202778
ASV7	ASV7	Bacteria	NA	NA	NA	NA	NA	NA	0.999955058
ASV8	ASV8	Bacteria	Actinobacteria	Actinobacteria	Frankiales	Geodermatophilaceae	Geodermatophilus	uncultured bacterium	0.810372062
ASV9	ASV9	Bacteria	Actinobacteria	Actinobacteria	Frankiales	Geodermatophilaceae	Geodermatophilus	NA	0.887707218
ASV10	ASV10	Bacteria	Cyanobacteria	Oxyphotobacteria	Nostocales	uncultured	uncultured bacterium	uncultured bacterium	0.995309009
ASV11	ASV11	Bacteria	Cyanobacteria	Oxyphotobacteria	Chloroplast	Myrmecia israelensis	Myrmecia israelensis	Myrmecia israelensis	0.999996689
ASV12	ASV12	Bacteria	Cyanobacteria	Oxyphotobacteria	Nostocales	Coleofasciculaceae	uncultured	uncultured bacterium	0.994281341
ASV13	ASV13	Bacteria	Cyanobacteria	Oxyphotobacteria	Nostocales	Nostocaceae	Mastigocladopsis PCC-10914	uncultured bacterium	0.825953
ASV14	ASV14	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Beijerinckiaceae	Microvirga	NA	0.999578261
ASV15	ASV15	Bacteria	Proteobacteria	Deltaproteobacteria	Myxococcales	Archangiaceae	NA	NA	0.934819325
ASV16	ASV16	Bacteria	Cyanobacteria	Oxyphotobacteria	Nostocales	Coleofasciculaceae	Wilmottia Ant-Ph58	NA	0.986061302
ASV17	ASV17	Bacteria	Cyanobacteria	Oxyphotobacteria	Nostocales	Coleofasciculaceae	Microcoleus PCC-7113	Microcoleus sp. HTT-U-KK5	0.953668678
ASV18	ASV18	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Beijerinckiaceae	Microvirga	NA	0.980157998
ASV19	ASV19	Bacteria	Cyanobacteria	Oxyphotobacteria	Nostocales	Coleofasciculaceae	Wilmottia Ant-Ph58	uncultured cyanobacterium	0.993958907
ASV20	ASV20	Bacteria	Cyanobacteria	Oxyphotobacteria	Nostocales	Coleofasciculaceae	uncultured	uncultured Oscillatoriales cyanobacterium	0.986914273
ASV21	ASV21	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Mitochondria	Leptogium hirsutum	Leptogium hirsutum	0.999999995
ASV22	ASV22	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Rubellimicrobium	uncultured bacterium	0.999980661
ASV23	ASV23	Bacteria	Cyanobacteria	Oxyphotobacteria	Nostocales	Nostocaceae	uncultured	uncultured bacterium	0.871575124
ASV24	ASV24	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Mitochondria	Leptogium hirsutum	Leptogium hirsutum	0.999999992
ASV25	ASV25	Bacteria	Cyanobacteria	Oxyphotobacteria	Nostocales	Phormidiaceae	Tychonema CCAP 1459-11B	NA	0.999235796
ASV26	ASV26	Bacteria	Actinobacteria	Actinobacteria	Frankiales	Geodermatophilaceae	Geodermatophilus	NA	0.87852919
ASV27	ASV27	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Rubellimicrobium	uncultured bacterium	0.937143066
ASV28	ASV28	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Mitochondria	NA	NA	0.999894265
ASV29	ASV29	Bacteria	Cyanobacteria	Oxyphotobacteria	Nostocales	Coleofasciculaceae	uncultured	uncultured bacterium	0.988579437
ASV30	ASV30	Bacteria	Proteobacteria	Alphaproteobacteria	Azospirillales	Azospirillaceae	Azospirillum	NA	0.999999363
ASV31	ASV31	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Mitochondria	NA	NA	0.9998186
ASV32	ASV32	Bacteria	Cyanobacteria	Oxyphotobacteria	Nostocales	Coleofasciculaceae	uncultured	NA	0.999946387
ASV33	ASV33	Bacteria	Cyanobacteria	Oxyphotobacteria	Nostocales	Coleofasciculaceae	Microcoleus SAG 1449-1a	uncultured cyanobacterium	0.999993818
ASV34	ASV34	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Rubellimicrobium	uncultured bacterium	0.966306584
ASV35	ASV35	Bacteria	Cyanobacteria	Oxyphotobacteria	Nostocales	Phormidiaceae	Trichocoleus SAG 26.92	uncultured bacterium	0.999987633
ASV36	ASV36	Bacteria	Cyanobacteria	Oxyphotobacteria	Nostocales	uncultured	uncultured cyanobacterium	uncultured cyanobacterium	0.953663294
ASV37	ASV37	Bacteria	Actinobacteria	Actinobacteria	Frankiales	Geodermatophilaceae	Geodermatophilus	NA	0.989962154
ASV38	ASV38	Bacteria	Actinobacteria	Actinobacteria	Pseudonocardiales	Pseudonocardiaceae	Crossiella	uncultured bacterium	0.935088029
ASV39	ASV39	Bacteria	Cyanobacteria	Oxyphotobacteria	Nostocales	Phormidiaceae	Trichocoleus SAG 26.92	Coleofasciculus chthonoplastes EcFYyyyy00	0.759158867
ASV40	ASV40	Bacteria	Cyanobacteria	Oxyphotobacteria	Nostocales	uncultured	uncultured bacterium	uncultured bacterium	0.817568714
ASV41	ASV41	Bacteria	Actinobacteria	Actinobacteria	Micromonosporales	Micromonosporaceae	NA	NA	0.999996722
ASV42	ASV42	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Rubellimicrobium	uncultured bacterium	0.946630098
ASV43	ASV43	Bacteria	Cyanobacteria	Oxyphotobacteria	Nostocales	Cyanobacteriaceae	uncultured bacterium	uncultured bacterium	0.9998796
ASV44	ASV44	Bacteria	Proteobacteria	Alphaproteobacteria	Azospirillales	Azospirillaceae	Azospirillum	Azospirillum soli	0.70089545
ASV45	ASV45	Bacteria	Cyanobacteria	Oxyphotobacteria	Nostocales	Coleofasciculaceae	Microcoleus SAG 1449-1a	uncultured bacterium	0.999998472
ASV46	ASV46	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Rubellimicrobium	uncultured bacterium	0.901409483
ASV47	ASV47	Bacteria	Proteobacteria	Gammaproteobacteria	Betaproteobacteriales	Burkholderiaceae	Noviherbaspirillum	NA	0.91290349
ASV48	ASV48	Bacteria	Proteobacteria	Alphaproteobacteria	Azospirillales	Azospirillaceae	Azospirillum	uncultured Azospirillum sp.	0.811556712
ASV49	ASV49	Bacteria	Cyanobacteria	Oxyphotobacteria	Nostocales	uncultured	NA	NA	0.999993716
ASV50	ASV50	Bacteria	Cyanobacteria	Oxyphotobacteria	Nostocales	uncultured	uncultured bacterium	uncultured bacterium	0.993779083
ASV51	ASV51	Bacteria	Cyanobacteria	Oxyphotobacteria	Nostocales	uncultured	NA	NA	0.999950116
ASV52	ASV52	Bacteria	Cyanobacteria	Oxyphotobacteria	Oxyphotobacteria Incertae Sedis	Unknown Family	uncultured	uncultured bacterium	0.982070851
ASV53	ASV53	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Beijerinckiaceae	uncultured	uncultured soil bacterium	0.763621618
ASV54	ASV54	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	NA	NA	0.999919173
ASV55	ASV55	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	NA	NA	0.997640498
ASV56	ASV56	Bacteria	Cyanobacteria	Oxyphotobacteria	Nostocales	Coleofasciculaceae	Microcoleus SAG 1449-1a	NA	0.995765995
ASV57	ASV57	Bacteria	Gemmatimonadetes	Longimicrobia	Longimicrobiales	Longimicrobiaceae	uncultured bacterium	uncultured bacterium	0.995306283
ASV58	ASV58	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Beijerinckiaceae	Microvirga	NA	0.998421433
ASV59	ASV59	Archaea	Thaumarchaeota	Nitrososphaeria	Nitrososphaerales	Nitrososphaeraceae	Candidatus Nitrososphaera	NA	0.999999968
ASV60	ASV60	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Ellin6055	uncultured bacterium	0.980979348
ASV61	ASV61	Bacteria	Cyanobacteria	Oxyphotobacteria	Nostocales	Nostocaceae	Nostoc PCC-73102	NA	0.998806936
ASV62	ASV62	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Rubellimicrobium	uncultured bacterium	0.862339258
ASV63	ASV63	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	NA	NA	0.999814124
ASV64	ASV64	Bacteria	Proteobacteria	Gammaproteobacteria	Betaproteobacteriales	Burkholderiaceae	Massilia	NA	0.999906849
ASV65	ASV65	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae 1	Clostridium sensu stricto 1	NA	0.999536129
ASV66	ASV66	Bacteria	Cyanobacteria	Oxyphotobacteria	Nostocales	Coleofasciculaceae	uncultured	uncultured bacterium	0.99499127
ASV67	ASV67	Bacteria	Firmicutes	Bacilli	Bacillales	Alicyclobacillaceae	Tumebacillus	NA	0.999999893
ASV68	ASV68	Bacteria	Actinobacteria	Actinobacteria	Micromonosporales	Micromonosporaceae	NA	NA	0.999999682
ASV69	ASV69	Bacteria	Cyanobacteria	Oxyphotobacteria	Nostocales	Chroococcidiopsaceae	Aliterella CENA595	uncultured cyanobacterium	0.848555535
ASV70	ASV70	Bacteria	Firmicutes	Bacilli	Bacillales	Paenibacillaceae	Paenibacillus	NA	0.997772804
ASV71	ASV71	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Beijerinckiaceae	Microvirga	NA	0.992836004
ASV72	ASV72	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Beijerinckiaceae	uncultured	uncultured bacterium	0.791775441
ASV73	ASV73	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Devosiaceae	Devosia	NA	0.759403058
ASV74	ASV74	Bacteria	Cyanobacteria	Oxyphotobacteria	Nostocales	Nostocaceae	Nostoc PCC-73102	NA	0.999447607
ASV75	ASV75	Bacteria	Proteobacteria	Gammaproteobacteria	Betaproteobacteriales	Burkholderiaceae	Massilia	NA	0.999867605
ASV76	ASV76	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	NA	0.842919078
ASV77	ASV77	Bacteria	Cyanobacteria	Oxyphotobacteria	Nostocales	NA	NA	NA	0.994506487
ASV78	ASV78	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	NA	NA	0.999564486
ASV79	ASV79	Bacteria	Cyanobacteria	Oxyphotobacteria	Nostocales	Coleofasciculaceae	Microcoleus SAG 1449-1a	Persicaria minor	0.958036876
ASV80	ASV80	Bacteria	Cyanobacteria	Oxyphotobacteria	Nostocales	Coleofasciculaceae	uncultured	uncultured bacterium	0.962623824
ASV81	ASV81	Bacteria	Cyanobacteria	Oxyphotobacteria	Nostocales	Coleofasciculaceae	Microcoleus SAG 1449-1a	uncultured cyanobacterium	0.999999276
ASV82	ASV82	Bacteria	Proteobacteria	Gammaproteobacteria	Betaproteobacteriales	Burkholderiaceae	Massilia	NA	0.999174367
ASV83	ASV83	Bacteria	Cyanobacteria	Oxyphotobacteria	Nostocales	Coleofasciculaceae	uncultured	uncultured bacterium	0.989626757
ASV84	ASV84	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Beijerinckiaceae	uncultured	uncultured bacterium	0.809992507
ASV85	ASV85	Bacteria	Cyanobacteria	Oxyphotobacteria	Nostocales	Nostocaceae	uncultured	NA	0.999999975
ASV86	ASV86	Bacteria	Cyanobacteria	Oxyphotobacteria	Nostocales	Cyanobacteriaceae	uncultured bacterium	uncultured bacterium	0.999781534
ASV87	ASV87	Bacteria	Bacteroidetes	Bacteroidia	Cytophagales	Spirosomaceae	uncultured	uncultured Bacteroidetes bacterium	0.972675553
ASV88	ASV88	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	NA	0.999972207
ASV89	ASV89	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Rubellimicrobium	uncultured bacterium	0.964363772
ASV90	ASV90	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Beijerinckiaceae	Microvirga	NA	0.987415971
ASV91	ASV91	Bacteria	Firmicutes	Bacilli	Bacillales	Planococcaceae	NA	NA	0.904657655
ASV92	ASV92	Bacteria	Cyanobacteria	Oxyphotobacteria	Nostocales	Nostocaceae	Scytonema UTEX 2349	uncultured cyanobacterium	0.828659314
ASV93	ASV93	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	NA	NA	0.999439321
ASV94	ASV94	Bacteria	Gemmatimonadetes	Gemmatimonadetes	Gemmatimonadales	Gemmatimonadaceae	Gemmatirosa	uncultured bacterium	0.999998671
ASV95	ASV95	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Ellin6055	uncultured bacterium	0.930602018
ASV96	ASV96	Bacteria	Actinobacteria	Actinobacteria	Frankiales	Geodermatophilaceae	Geodermatophilus	NA	0.998968148
ASV97	ASV97	Bacteria	Firmicutes	Clostridia	Clostridiales	Family XVIII	uncultured	uncultured bacterium	0.999955281
ASV98	ASV98	Bacteria	Firmicutes	Bacilli	Bacillales	Paenibacillaceae	Paenibacillus	NA	0.999986336
ASV99	ASV99	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Beijerinckiaceae	Microvirga	NA	0.999845878
ASV100	ASV100	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	uncultured	uncultured bacterium	uncultured bacterium	0.716755886
ASV101	ASV101	Bacteria	Cyanobacteria	Oxyphotobacteria	Nostocales	uncultured	uncultured bacterium	uncultured bacterium	0.906289378
ASV102	ASV102	Bacteria	Cyanobacteria	Oxyphotobacteria	Nostocales	uncultured	NA	NA	0.999727874
ASV103	ASV103	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Beijerinckiaceae	uncultured	uncultured bacterium	0.871302658
ASV104	ASV104	Bacteria	Bacteroidetes	Bacteroidia	Cytophagales	Hymenobacteraceae	Adhaeribacter	Hymenobacter sp. 29F	0.759234753
ASV105	ASV105	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Rubellimicrobium	uncultured bacterium	0.725662665
ASV106	ASV106	Bacteria	Actinobacteria	Actinobacteria	Frankiales	Geodermatophilaceae	Blastococcus	NA	0.999606079
ASV107	ASV107	Bacteria	Cyanobacteria	Oxyphotobacteria	Nostocales	Coleofasciculaceae	uncultured	NA	0.999807221
ASV108	ASV108	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	MN 122.2a	uncultured bacterium	0.929802458
ASV109	ASV109	Bacteria	Firmicutes	Bacilli	Bacillales	Paenibacillaceae	Paenibacillus	uncultured soil bacterium	0.928918097
ASV110	ASV110	Bacteria	Actinobacteria	Actinobacteria	Micromonosporales	Micromonosporaceae	NA	NA	0.999998612
ASV111	ASV111	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	uncultured bacterium	uncultured bacterium	uncultured bacterium	0.996515188
ASV112	ASV112	Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Micrococcaceae	Arthrobacter	NA	0.949457902
ASV113	ASV113	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	NA	NA	0.999527466
ASV114	ASV114	Bacteria	Proteobacteria	Deltaproteobacteria	Myxococcales	Myxococcaceae	Myxococcus	NA	0.822625059
ASV115	ASV115	Bacteria	Cyanobacteria	Oxyphotobacteria	Nostocales	Coleofasciculaceae	Microcoleus Es-Yyy1400	NA	0.99017428
ASV116	ASV116	Bacteria	Proteobacteria	Alphaproteobacteria	Azospirillales	Azospirillaceae	Azospirillum	Azospirillum brasilense	0.794043101
ASV117	ASV117	Bacteria	Proteobacteria	Alphaproteobacteria	Azospirillales	Azospirillaceae	Azospirillum	uncultured Azospirillum sp.	0.747184222
ASV118	ASV118	Bacteria	Cyanobacteria	Oxyphotobacteria	Nostocales	uncultured	NA	NA	0.999843943
ASV119	ASV119	Bacteria	Actinobacteria	Actinobacteria	Frankiales	Geodermatophilaceae	Modestobacter	NA	0.998974939
ASV120	ASV120	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	uncultured	uncultured endolithic bacterium	uncultured endolithic bacterium	0.70262056
ASV121	ASV121	Bacteria	Cyanobacteria	Oxyphotobacteria	Nostocales	Chroococcidiopsaceae	Chroococcidiopsis SAG 2023	NA	0.999825289
ASV122	ASV122	Bacteria	Proteobacteria	Gammaproteobacteria	Betaproteobacteriales	Burkholderiaceae	Noviherbaspirillum	NA	0.7557945
ASV123	ASV123	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae 1	Clostridium sensu stricto 8	uncultured bacterium	0.796938522
ASV124	ASV124	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	NA	NA	0.999996854
ASV125	ASV125	Bacteria	Cyanobacteria	Oxyphotobacteria	Nostocales	Chroococcidiopsaceae	Chroococcidiopsis SAG 2023	NA	0.999991925
ASV126	ASV126	Bacteria	Nitrospirae	Nitrospira	Nitrospirales	Nitrospiraceae	Nitrospira	NA	1
ASV127	ASV127	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Rubellimicrobium	uncultured bacterium	0.895533597
ASV128	ASV128	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Beijerinckiaceae	uncultured	Salinarimonas sp. BN140002	0.822219484
ASV129	ASV129	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Beijerinckiaceae	Microvirga	NA	0.999971626
ASV130	ASV130	Bacteria	Proteobacteria	Alphaproteobacteria	Acetobacterales	Acetobacteraceae	Roseomonas	uncultured bacterium	0.797707123
ASV131	ASV131	Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Micrococcaceae	Kocuria	Kocuria flava	0.711560408
ASV132	ASV132	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	NA	NA	0.994415841
ASV133	ASV133	Bacteria	Cyanobacteria	Oxyphotobacteria	Nostocales	Phormidiaceae	Trichocoleus SAG 26.92	uncultured bacterium	0.999898856
ASV134	ASV134	Bacteria	Proteobacteria	Alphaproteobacteria	Acetobacterales	Acetobacteraceae	Craurococcus	uncultured bacterium	0.997212946
ASV135	ASV135	Bacteria	Proteobacteria	Gammaproteobacteria	Betaproteobacteriales	Burkholderiaceae	Massilia	NA	0.999412336
ASV136	ASV136	Bacteria	Actinobacteria	Actinobacteria	Frankiales	Geodermatophilaceae	Geodermatophilus	uncultured bacterium	0.74024491
ASV137	ASV137	Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Microbacteriaceae	NA	NA	0.999784603
ASV138	ASV138	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Beijerinckiaceae	Microvirga	NA	0.998403608
ASV139	ASV139	Bacteria	Cyanobacteria	Oxyphotobacteria	Nostocales	Phormidiaceae	Tychonema CCAP 1459-11B	NA	0.987075032
ASV140	ASV140	Bacteria	Bacteroidetes	Bacteroidia	Cytophagales	Hymenobacteraceae	Hymenobacter	NA	1
ASV141	ASV141	Bacteria	Actinobacteria	Actinobacteria	Frankiales	Geodermatophilaceae	Blastococcus	uncultured bacterium	0.726581322
ASV142	ASV142	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae 1	Clostridium sensu stricto 10	uncultured bacterium	0.993554593
ASV143	ASV143	Bacteria	Verrucomicrobia	Verrucomicrobiae	Chthoniobacterales	Chthoniobacteraceae	Candidatus Udaeobacter	NA	0.999771908
ASV144	ASV144	Bacteria	Actinobacteria	Rubrobacteria	Rubrobacterales	Rubrobacteriaceae	Rubrobacter	uncultured actinobacterium	0.813104394
ASV145	ASV145	Bacteria	Cyanobacteria	Oxyphotobacteria	Nostocales	uncultured	uncultured bacterium	uncultured bacterium	0.998427558
ASV146	ASV146	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas	NA	0.983750989
ASV147	ASV147	Bacteria	Cyanobacteria	Oxyphotobacteria	Nostocales	uncultured	uncultured cyanobacterium	uncultured cyanobacterium	0.939821774
ASV148	ASV148	Bacteria	Proteobacteria	Alphaproteobacteria	Acetobacterales	Acetobacteraceae	Belnapia	Belnapia sp. F-4-1	0.725177331
ASV149	ASV149	Bacteria	Actinobacteria	Actinobacteria	Frankiales	Geodermatophilaceae	Geodermatophilus	uncultured bacterium	0.962990271
ASV150	ASV150	Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Cellulomonadaceae	Cellulomonas	uncultured bacterium	0.808845079
ASV151	ASV151	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	NA	NA	0.999819031
ASV152	ASV152	Bacteria	Bacteroidetes	Bacteroidia	Cytophagales	Hymenobacteraceae	Adhaeribacter	uncultured Hymenobacter group bacterium	0.819427249
ASV153	ASV153	Bacteria	Proteobacteria	Alphaproteobacteria	Caulobacterales	Caulobacteraceae	PMMR1	uncultured bacterium	0.994066272
ASV154	ASV154	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Beijerinckiaceae	Microvirga	NA	0.995232237
ASV155	ASV155	Bacteria	Bacteroidetes	Bacteroidia	Cytophagales	Spirosomaceae	uncultured	uncultured Bacteroidetes bacterium	0.992554497
ASV156	ASV156	Bacteria	Proteobacteria	Gammaproteobacteria	Betaproteobacteriales	Burkholderiaceae	NA	NA	0.999999868
ASV157	ASV157	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Beijerinckiaceae	Microvirga	NA	0.999946132
ASV158	ASV158	Bacteria	Proteobacteria	Gammaproteobacteria	Betaproteobacteriales	Burkholderiaceae	Massilia	NA	0.999678458
ASV159	ASV159	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas	NA	0.994346475
ASV160	ASV160	Bacteria	Actinobacteria	Actinobacteria	Frankiales	Geodermatophilaceae	Geodermatophilus	uncultured bacterium	0.93641019
ASV161	ASV161	Bacteria	Cyanobacteria	Oxyphotobacteria	Nostocales	Coleofasciculaceae	Microcoleus Es-Yyy1400	Microcoleus paludosus Es_Yyy1400	0.999988648
ASV162	ASV162	Bacteria	Actinobacteria	Acidimicrobiia	IMCC26256	NA	NA	NA	0.70610147
ASV163	ASV163	Bacteria	Proteobacteria	Alphaproteobacteria	Caulobacterales	Caulobacteraceae	PMMR1	uncultured bacterium	0.996133885
ASV164	ASV164	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingoaurantiacus	uncultured bacterium	0.975470408
ASV165	ASV165	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Ellin6055	uncultured bacterium	0.937952769
ASV166	ASV166	Bacteria	Proteobacteria	Gammaproteobacteria	Betaproteobacteriales	Burkholderiaceae	Massilia	NA	0.999683513
ASV167	ASV167	Bacteria	Cyanobacteria	Oxyphotobacteria	Nostocales	uncultured	uncultured bacterium	uncultured bacterium	0.998793443
ASV168	ASV168	Bacteria	Chloroflexi	Anaerolineae	Ardenticatenales	Ardenticatenaceae	uncultured	uncultured Caldilinea sp.	0.999913546
ASV169	ASV169	Bacteria	Cyanobacteria	Oxyphotobacteria	Oxyphotobacteria Incertae Sedis	Unknown Family	Leptolyngbya EcFYyyy-00	Leptolyngbya scottii EcFYyyy_00	0.974038893
ASV170	ASV170	Bacteria	Actinobacteria	Actinobacteria	Micromonosporales	Micromonosporaceae	Asanoa	NA	0.84175882
ASV171	ASV171	Bacteria	Actinobacteria	Rubrobacteria	Rubrobacterales	Rubrobacteriaceae	Rubrobacter	NA	1
ASV172	ASV172	Bacteria	Actinobacteria	Actinobacteria	Pseudonocardiales	Pseudonocardiaceae	Pseudonocardia	NA	0.998631382
ASV173	ASV173	Bacteria	Actinobacteria	Rubrobacteria	Rubrobacterales	Rubrobacteriaceae	Rubrobacter	NA	1
ASV174	ASV174	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas	NA	0.995808194
ASV175	ASV175	Bacteria	Gemmatimonadetes	Longimicrobia	Longimicrobiales	Longimicrobiaceae	uncultured bacterium	uncultured bacterium	0.999207597
ASV176	ASV176	Bacteria	FBP	uncultured bacterium	uncultured bacterium	uncultured bacterium	uncultured bacterium	uncultured bacterium	0.999963552
ASV177	ASV177	Bacteria	Actinobacteria	Rubrobacteria	Rubrobacterales	Rubrobacteriaceae	Rubrobacter	uncultured Rubrobacter sp.	0.776148357
ASV178	ASV178	Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Micrococcaceae	NA	NA	0.999999394
ASV179	ASV179	Bacteria	Cyanobacteria	Oxyphotobacteria	Nostocales	Coleofasciculaceae	Wilmottia Ant-Ph58	uncultured cyanobacterium	0.998523633
ASV180	ASV180	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	NA	NA	0.999784427
ASV181	ASV181	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Beijerinckiaceae	Microvirga	NA	0.80383617
ASV182	ASV182	Bacteria	Proteobacteria	Alphaproteobacteria	Azospirillales	Azospirillaceae	Skermanella	NA	0.999754837
ASV183	ASV183	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	NA	NA	0.99969361
ASV184	ASV184	Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Micrococcaceae	Arthrobacter	Arthrobacter agilis	0.726675012
ASV185	ASV185	Bacteria	Actinobacteria	Rubrobacteria	Rubrobacterales	Rubrobacteriaceae	Rubrobacter	NA	1
ASV186	ASV186	Bacteria	Cyanobacteria	Oxyphotobacteria	Nostocales	uncultured	NA	NA	0.999746969
ASV187	ASV187	Bacteria	Actinobacteria	Thermoleophilia	Solirubrobacterales	Solirubrobacteraceae	Conexibacter	NA	0.958975801
ASV188	ASV188	Bacteria	Acidobacteria	Blastocatellia (Subgroup 4)	Blastocatellales	Blastocatellaceae	NA	NA	0.99967908
ASV189	ASV189	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Beijerinckiaceae	uncultured	uncultured endolithic bacterium	0.868459786
ASV190	ASV190	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Rubellimicrobium	uncultured bacterium	0.970557071
ASV191	ASV191	Bacteria	Proteobacteria	Deltaproteobacteria	Myxococcales	bacteriap25	metagenome	metagenome	0.999998942
ASV192	ASV192	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Beijerinckiaceae	Psychroglaciecola	metagenome	0.916081476
