	Feature_ID	Kingdom	Phylum	Class	Order	Family	Genus	Species	Confidence
ASV1255	ASV1255	Bacteria	Gemmatimonadetes	Longimicrobia	Longimicrobiales	Longimicrobiaceae	uncultured bacterium	uncultured bacterium	0.996447562
ASV1256	ASV1256	Bacteria	Cyanobacteria	Oxyphotobacteria	Nostocales	uncultured	uncultured bacterium	uncultured bacterium	0.947939384
ASV1257	ASV1257	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Ellin6055	uncultured bacterium	0.992980907
ASV1258	ASV1258	Bacteria	Proteobacteria	Alphaproteobacteria	Acetobacterales	Acetobacteraceae	NA	NA	0.999992822
ASV1259	ASV1259	Bacteria	Bacteroidetes	Bacteroidia	Chitinophagales	Chitinophagaceae	Flavisolibacter	NA	0.860477019
ASV1260	ASV1260	Bacteria	Proteobacteria	Gammaproteobacteria	Nitrosococcales	Nitrosococcaceae	SZB85	NA	0.995381591
ASV1261	ASV1261	Bacteria	Actinobacteria	Thermoleophilia	Gaiellales	uncultured	uncultured bacterium	uncultured bacterium	0.85356234
ASV1262	ASV1262	Archaea	Thaumarchaeota	Nitrososphaeria	Nitrososphaerales	Nitrososphaeraceae	Candidatus Nitrososphaera	uncultured archaeon	0.829485564
ASV1263	ASV1263	Bacteria	Actinobacteria	Rubrobacteria	Rubrobacterales	Rubrobacteriaceae	Rubrobacter	NA	1
ASV1264	ASV1264	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Beijerinckiaceae	Microvirga	NA	0.91422743
ASV1265	ASV1265	Bacteria	Chloroflexi	Chloroflexia	Chloroflexales	Roseiflexaceae	uncultured	NA	0.999664785
ASV1266	ASV1266	Bacteria	Cyanobacteria	Oxyphotobacteria	Nostocales	uncultured	uncultured bacterium	uncultured bacterium	0.971620117
ASV1267	ASV1267	Bacteria	Actinobacteria	Actinobacteria	Micromonosporales	Micromonosporaceae	Virgisporangium	NA	0.849689776
ASV1268	ASV1268	Bacteria	Proteobacteria	Alphaproteobacteria	Caulobacterales	Caulobacteraceae	PMMR1	uncultured bacterium	0.803441158
ASV1269	ASV1269	Bacteria	Proteobacteria	Deltaproteobacteria	Myxococcales	BIrii41	uncultured bacterium	uncultured bacterium	0.881279697
ASV1270	ASV1270	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	uncultured	uncultured bacterium	uncultured bacterium	0.785046948
ASV1271	ASV1271	Bacteria	Actinobacteria	Acidimicrobiia	uncultured	NA	NA	NA	0.884951315
ASV1272	ASV1272	Bacteria	Cyanobacteria	Oxyphotobacteria	Nostocales	NA	NA	NA	0.999996236
ASV1273	ASV1273	Bacteria	Chloroflexi	Anaerolineae	NA	NA	NA	NA	0.700782191
ASV1274	ASV1274	Bacteria	Bacteroidetes	Bacteroidia	Chitinophagales	Chitinophagaceae	uncultured	NA	0.710272002
ASV1275	ASV1275	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Beijerinckiaceae	uncultured	NA	0.772254104
ASV1276	ASV1276	Bacteria	Planctomycetes	Phycisphaerae	Tepidisphaerales	WD2101 soil group	uncultured planctomycete	uncultured planctomycete	0.732230279
ASV1277	ASV1277	Bacteria	Acidobacteria	Subgroup 6	NA	NA	NA	NA	1
ASV1278	ASV1278	Bacteria	Acidobacteria	Subgroup 6	NA	NA	NA	NA	0.999999759
ASV1279	ASV1279	Bacteria	Cyanobacteria	Oxyphotobacteria	Nostocales	Nostocaceae	uncultured	uncultured bacterium	0.759637533
ASV1280	ASV1280	Bacteria	Actinobacteria	Actinobacteria	Micromonosporales	Micromonosporaceae	Micromonospora	NA	0.727377516
ASV1281	ASV1281	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Xanthobacteraceae	Rhodoplanes	NA	0.941178614
ASV1282	ASV1282	Bacteria	Actinobacteria	MB-A2-108	uncultured actinobacterium	uncultured actinobacterium	uncultured actinobacterium	uncultured actinobacterium	0.758990928
ASV1283	ASV1283	Bacteria	Cyanobacteria	Oxyphotobacteria	Nostocales	Phormidiaceae	Tychonema CCAP 1459-11B	NA	0.991550988
ASV1284	ASV1284	Bacteria	Gemmatimonadetes	Longimicrobia	Longimicrobiales	Longimicrobiaceae	uncultured bacterium	uncultured bacterium	0.99711345
ASV1285	ASV1285	Bacteria	Actinobacteria	Thermoleophilia	Solirubrobacterales	Solirubrobacteraceae	Solirubrobacter	NA	0.999883561
ASV1286	ASV1286	Bacteria	Gemmatimonadetes	Longimicrobia	Longimicrobiales	Longimicrobiaceae	NA	NA	0.999999965
ASV1287	ASV1287	Bacteria	Proteobacteria	Alphaproteobacteria	Azospirillales	Azospirillaceae	uncultured	uncultured bacterium	0.999999993
ASV1288	ASV1288	Bacteria	Actinobacteria	Acidimicrobiia	uncultured	uncultured Acidimicrobiales bacterium	uncultured Acidimicrobiales bacterium	uncultured Acidimicrobiales bacterium	0.993935581
ASV1289	ASV1289	Archaea	Thaumarchaeota	Nitrososphaeria	Nitrososphaerales	Nitrososphaeraceae	Candidatus Nitrososphaera	uncultured archaeon	0.8662155
ASV1290	ASV1290	Bacteria	Bacteroidetes	Bacteroidia	Cytophagales	Cytophagaceae	NA	NA	0.983273683
ASV1291	ASV1291	Bacteria	Proteobacteria	Alphaproteobacteria	Acetobacterales	Acetobacteraceae	NA	NA	0.999986948
ASV1292	ASV1292	Bacteria	Actinobacteria	Actinobacteria	Kineosporiales	Kineosporiaceae	NA	NA	0.991087367
ASV1293	ASV1293	Bacteria	Cyanobacteria	Oxyphotobacteria	Nostocales	Phormidiaceae	Tychonema CCAP 1459-11B	NA	0.997427129
ASV1294	ASV1294	Bacteria	Bacteroidetes	Bacteroidia	Cytophagales	Hymenobacteraceae	Nibribacter	uncultured bacterium	0.998877998
ASV1295	ASV1295	Bacteria	Chloroflexi	Chloroflexia	Kallotenuales	AKIW781	NA	NA	0.803855433
ASV1296	ASV1296	Bacteria	Acidobacteria	Holophagae	Subgroup 7	uncultured Acidobacterium sp.	uncultured Acidobacterium sp.	uncultured Acidobacterium sp.	0.704680829
ASV1297	ASV1297	Bacteria	Proteobacteria	Deltaproteobacteria	Myxococcales	bacteriap25	uncultured Myxococcales bacterium	uncultured Myxococcales bacterium	0.728522351
ASV1298	ASV1298	Bacteria	Actinobacteria	Actinobacteria	Micromonosporales	Micromonosporaceae	Asanoa	uncultured bacterium	0.870969281
ASV1299	ASV1299	Bacteria	Gemmatimonadetes	Longimicrobia	Longimicrobiales	Longimicrobiaceae	uncultured bacterium	uncultured bacterium	0.997339079
ASV1300	ASV1300	Bacteria	Planctomycetes	Planctomycetacia	Isosphaerales	Isosphaeraceae	NA	NA	1
ASV1301	ASV1301	Bacteria	Planctomycetes	Phycisphaerae	Tepidisphaerales	Tepidisphaeraceae	uncultured bacterium	uncultured bacterium	0.91460052
ASV1302	ASV1302	Bacteria	Chloroflexi	Chloroflexia	Kallotenuales	AKIW781	uncultured Chloroflexi bacterium	uncultured Chloroflexi bacterium	0.938087647
ASV1303	ASV1303	Bacteria	Chloroflexi	Chloroflexia	Kallotenuales	NA	NA	NA	0.999969243
ASV1304	ASV1304	Bacteria	Chloroflexi	NA	NA	NA	NA	NA	0.84363513
ASV1305	ASV1305	Bacteria	Nitrospirae	Nitrospira	Nitrospirales	Nitrospiraceae	Nitrospira	NA	0.99999007
ASV1306	ASV1306	Bacteria	Verrucomicrobia	Verrucomicrobiae	Chthoniobacterales	Chthoniobacteraceae	Chthoniobacter	uncultured bacterium	0.865556989
ASV1307	ASV1307	Bacteria	Acidobacteria	Blastocatellia (Subgroup 4)	Blastocatellales	Blastocatellaceae	NA	NA	0.99987164
ASV1308	ASV1308	Bacteria	Acidobacteria	Acidobacteriia	Solibacterales	Solibacteraceae (Subgroup 3)	Bryobacter	NA	0.996206332
ASV1309	ASV1309	Bacteria	Bacteroidetes	Bacteroidia	Cytophagales	Hymenobacteraceae	Adhaeribacter	uncultured bacterium	0.965446413
ASV1310	ASV1310	Bacteria	Cyanobacteria	Oxyphotobacteria	Nostocales	Phormidiaceae	NA	NA	0.967445178
ASV1311	ASV1311	Bacteria	Actinobacteria	Acidimicrobiia	IMCC26256	uncultured Actinomycetales bacterium	uncultured Actinomycetales bacterium	uncultured Actinomycetales bacterium	0.783515919
ASV1312	ASV1312	Bacteria	Cyanobacteria	Oxyphotobacteria	Nostocales	uncultured	uncultured bacterium	uncultured bacterium	0.956715938
ASV1313	ASV1313	Bacteria	Cyanobacteria	Oxyphotobacteria	Nostocales	Coleofasciculaceae	Microcoleus Es-Yyy1400	Microcoleus paludosus Es_Yyy1400	0.914456404
ASV1314	ASV1314	Bacteria	Planctomycetes	Planctomycetacia	Isosphaerales	Isosphaeraceae	uncultured	NA	0.842296232
ASV1315	ASV1315	Bacteria	Bacteroidetes	Bacteroidia	Cytophagales	Microscillaceae	uncultured	uncultured Cyclobacteriaceae bacterium	0.7224616
ASV1316	ASV1316	Bacteria	Cyanobacteria	Oxyphotobacteria	Nostocales	Coleofasciculaceae	uncultured	uncultured bacterium	0.825090791
ASV1317	ASV1317	Bacteria	Cyanobacteria	Oxyphotobacteria	Nostocales	Coleofasciculaceae	Wilmottia Ant-Ph58	NA	0.861697866
ASV1318	ASV1318	Bacteria	Cyanobacteria	Oxyphotobacteria	Nostocales	Coleofasciculaceae	Microcoleus Es-Yyy1400	Microcoleus paludosus Es_Yyy1400	0.976240793
ASV1319	ASV1319	Bacteria	Chloroflexi	Chloroflexia	Kallotenuales	AKIW781	NA	NA	0.999999969
ASV1320	ASV1320	Bacteria	Cyanobacteria	Oxyphotobacteria	Nostocales	Coleofasciculaceae	Symplocastrum CPER-KK1	NA	0.800700755
